uid,filepath,quality_score,label,best_mqe,topographic_error,dead_neuron_ratio,u_matrix_mean,u_matrix_std,u_matrix_max,distance_map_max
fb3efb95e3737f0a253844ff615def42,./test/results/20260112_140511/maps_dataset/rgb/fb3efb95e3737f0a253844ff615def42_rgb.png,0.0,bad_auto,0.1322777988856828,0.0217808535178777,0.7335640138408305,0.3804576122907833,0.128361062299444,0.7295954527120548,0.2141163018519543
7ef1ab2128dbcb2c88707be89e783509,./test/results/20260112_140511/maps_dataset/rgb/7ef1ab2128dbcb2c88707be89e783509_rgb.png,0.0,bad_auto,0.7209571061357753,0.1043999999999999,0.84,0.2013676320399145,0.1696876034356462,0.4980786678843342,0.522247294705201
b5d0c7d2ca71bcb8af5e09f88a27d543,./test/results/20260112_140511/maps_dataset/rgb/b5d0c7d2ca71bcb8af5e09f88a27d543_rgb.png,0.0,bad_auto,0.1210501920476466,0.0109861495844875,0.7479224376731302,0.3541398679348403,0.1291910587447097,0.778238373753841,0.1510468250657133
7b1e92fb1666d00e32b50a36a5c66584,./test/results/20260112_140511/maps_dataset/rgb/7b1e92fb1666d00e32b50a36a5c66584_rgb.png,0.0,bad_auto,0.1203630605925337,0.0223,0.7725,0.3703858763075764,0.1393863385829066,0.8052280597734758,0.2070544003207658
cad52e01f2177d54bfb7aaff5b736f54,./test/results/20260112_140511/maps_dataset/rgb/cad52e01f2177d54bfb7aaff5b736f54_rgb.png,0.0,bad_auto,0.1531965022070734,0.0637551020408163,0.6938775510204082,0.389698301143891,0.1530687231015366,0.8616931487030105,0.3169598969654527
bbe901a6fadefa6f4ec91d1bfe60c28e,./test/results/20260112_140511/maps_dataset/rgb/bbe901a6fadefa6f4ec91d1bfe60c28e_rgb.png,0.0,bad_auto,0.7835389990986233,0.5296166666666667,0.9475,0.0843400838604649,0.0835688616969957,0.5393782394329716,0.7401186546970367
d58b9b9e5b94443987f24bce01bdd3a2,./test/results/20260112_140511/maps_dataset/rgb/d58b9b9e5b94443987f24bce01bdd3a2_rgb.png,0.0,bad_auto,0.652720307121942,0.4604907407407407,0.7847222222222222,0.098735180889305,0.129469047289925,0.5942928177306501,0.8292014446851353
56be770c3b03876ecb1ae5214e5604c6,./test/results/20260112_140511/maps_dataset/rgb/56be770c3b03876ecb1ae5214e5604c6_rgb.png,0.0,bad_auto,0.719225256201385,0.2958333333333333,0.875,0.1677310260984652,0.164594355098037,0.617617308792357,0.6136178819100446
82b04d7b1bd19c7259975c6404a94e15,./test/results/20260112_140511/maps_dataset/rgb/82b04d7b1bd19c7259975c6404a94e15_rgb.png,1.0,good,0.1931343354183202,0.0924814814814814,0.3611111111111111,0.4434083224981323,0.1235856384439738,0.7700662407072004,0.4093544155763182
11735d895bf760258d2fb75845a7c7e5,./test/results/20260112_140511/maps_dataset/rgb/11735d895bf760258d2fb75845a7c7e5_rgb.png,0.0,bad_auto,0.1382379309926525,0.0882306805074971,0.754325259515571,0.380761803167833,0.1495628695594386,0.967077712375216,0.2440212207343905
f6a33d1d738cc87e92fcff9277c7b643,./test/results/20260112_140511/maps_dataset/rgb/f6a33d1d738cc87e92fcff9277c7b643_rgb.png,0.0,bad_auto,0.1739065483019234,0.1715555555555555,0.7083333333333334,0.3975090044350591,0.1360452166796446,0.8993877893958809,0.2365038179072078
f6a33d1d738cc87e92fcff9277c7b643,./test/results/20260112_140511/maps_dataset/rgb/f6a33d1d738cc87e92fcff9277c7b643_rgb.png,0.0,bad_auto,0.166812104481027,0.1030555555555555,0.6458333333333334,0.4207309612191682,0.1485530524537873,0.9563940398965886,0.2142161766028613
88c9a332590cef3435865e9c02c761f9,./test/results/20260112_140511/maps_dataset/rgb/88c9a332590cef3435865e9c02c761f9_rgb.png,0.0,bad_auto,0.1295941578817047,0.0,0.7645429362880887,0.3762771690592238,0.1375308766284353,0.8274187313249411,0.1990318827760999
1b446cb9bee34a1b45941015892f4572,./test/results/20260112_140511/maps_dataset/rgb/1b446cb9bee34a1b45941015892f4572_rgb.png,0.0,bad_auto,0.121693203809484,0.032792243767313,0.739612188365651,0.3660795694101484,0.1234175269567969,0.8644598812388674,0.1654678861345267
